artist	name	id	year	rank	lang	nation
F.T Island	새들처럼	25638955	2011	50	kr	
CNBLUE	신데렐라(Cinderella)	34614052	2015	7	kr	kr
Beast	아름다운 밤이야	22826935	2012	68	kr	
郑容和	어느 멋진 날	30148517	2015	12	kr	kr
李洪基	여전히	5404004	2010	44	kr	kr
CNBLUE	외톨이야	5370718	2010	55	kr	kr
2PM	이 노래를 듣고 돌아와	26562567	2013	60	kr	
F.T Island	좋겠어(I wish)	22750302	2012	47	kr	
EXO-K	중독(Overdose)	28497213	2014	17	kr	
F.T Island	지독하게	22750325	2012	66	kr	
f(x)	첫 사랑니(Rum Pum Pum Pum)	27511866	2013	38	kr	
Chen	최고의 행운	28977540	2014	40	kr	
G-Dragon	쿠데타(Coup D'etat)	27676677	2013	24	kr	
Roy Kim	피노키오	29761107	2015	78	kr	
NEWS	さくらガール	22797247	2010	21	jp	
